(1, 0, 1,1920928955078125e-06)
(2, 1, 1,6689300537109375e-06)
(3, 1, 3,5762786865234375e-06)
(4, 2, 3,337860107421875e-06)
(5, 3, 4,0531158447265625e-06)
(6, 5, 4,0531158447265625e-06)
(7, 8, 2,86102294921875e-06)
(8, 13, 2,384185791015625e-06)
(9, 21, 2,0265579223632812e-05)
(10, 34, 4,0531158447265625e-06)
(11, 55, 3,0994415283203125e-06)
(12, 89, 3,5762786865234375e-06)
(13, 144, 1,9073486328125e-05)
(14, 233, 4,5299530029296875e-06)
(15, 377, 3,0994415283203125e-06)
(16, 610, 4,76837158203125e-06)
(17, 987, 4,0531158447265625e-06)
(18, 1597, 4,5299530029296875e-06)
(19, 2584, 4,5299530029296875e-06)
(20, 4181, 4,76837158203125e-06)
(21, 6765, 4,5299530029296875e-06)
(22, 10946, 4,291534423828125e-06)
(23, 17711, 4,76837158203125e-06)
(24, 28657, 5,245208740234375e-06)
(25, 46368, 5,245208740234375e-06)
(26, 75025, 3,337860107421875e-06)
(27, 121393, 5,245208740234375e-06)
(28, 196418, 4,291534423828125e-06)
(29, 317811, 5,4836273193359375e-06)
(30, 514229, 6,4373016357421875e-06)
(31, 832040, 3,814697265625e-06)
(32, 1346269, 4,0531158447265625e-06)
(33, 2178309, 4,0531158447265625e-06)
(34, 3524578, 4,0531158447265625e-06)
(35, 5702887, 5,7220458984375e-06)
(36, 9227465, 5,7220458984375e-06)
(37, 14930352, 4,291534423828125e-06)
(38, 24157817, 6,198883056640625e-06)
(39, 39088169, 2,3365020751953125e-05)
(40, 63245986, 5,4836273193359375e-06)
(41, 102334155, 5,9604644775390625e-06)
(42, 165580141, 9,298324584960938e-06)
(43, 267914296, 5,245208740234375e-06)
(44, 433494437, 4,76837158203125e-06)
(45, 701408733, 6,198883056640625e-06)
(46, 1134903170, 5,0067901611328125e-06)
(47, 1836311903, 6,4373016357421875e-06)
(48, 2971215073, 7,152557373046875e-06)
(49, 4807526976, 6,9141387939453125e-06)
(50, 7778742049, 7,3909759521484375e-06)
(51, 12586269025, 5,4836273193359375e-06)
(52, 20365011074, 1,6927719116210938e-05)
(53, 32951280099, 7,3909759521484375e-06)
(54, 53316291173, 7,62939453125e-06)
(55, 86267571272, 5,4836273193359375e-06)
(56, 139583862445, 5,4836273193359375e-06)
(57, 225851433717, 7,3909759521484375e-06)
(58, 365435296162, 7,152557373046875e-06)
(59, 591286729879, 8,106231689453125e-06)
(60, 956722026041, 5,9604644775390625e-06)
(61, 1548008755920, 7,152557373046875e-06)
(62, 2504730781961, 8,344650268554688e-06)
(63, 4052739537881, 8,106231689453125e-06)
(64, 6557470319842, 9,059906005859375e-06)
(65, 10610209857723, 8,344650268554688e-06)
(66, 17167680177565, 5,9604644775390625e-06)
(67, 27777890035288, 8,58306884765625e-06)
(68, 44945570212853, 8,106231689453125e-06)
(69, 72723460248141, 7,3909759521484375e-06)
(70, 117669030460994, 7,867813110351562e-06)
(71, 190392490709135, 9,059906005859375e-06)
(72, 308061521170129, 1,0728836059570312e-05)
(73, 498454011879264, 6,67572021484375e-06)
(74, 806515533049393, 7,62939453125e-06)
(75, 1304969544928657, 7,152557373046875e-06)
(76, 2111485077978050, 8,344650268554688e-06)
(77, 3416454622906707, 8,344650268554688e-06)
(78, 5527939700884757, 9,775161743164062e-06)
(79, 8944394323791464, 7,3909759521484375e-06)
(80, 14472334024676221, 8,821487426757812e-06)
(81, 23416728348467685, 6,9141387939453125e-06)
(82, 37889062373143906, 1,049041748046875e-05)
(83, 61305790721611591, 1,811981201171875e-05)
(84, 99194853094755497, 1,0013580322265625e-05)
(85, 160500643816367088, 9,775161743164062e-06)
(86, 259695496911122585, 9,298324584960938e-06)
(87, 420196140727489673, 8,821487426757812e-06)
(88, 679891637638612258, 9,298324584960938e-06)
(89, 1100087778366101931, 1,3113021850585938e-05)
(90, 1779979416004714189, 1,1444091796875e-05)
(91, 2880067194370816120, 7,3909759521484375e-06)
(92, 4660046610375530309, 1,1682510375976562e-05)
(93, 7540113804746346429, 7,152557373046875e-06)
(94, 12200160415121876738, 1,0013580322265625e-05)
(95, 19740274219868223167, 7,867813110351562e-06)
(96, 31940434634990099905, 1,0013580322265625e-05)
(97, 51680708854858323072, 1,239776611328125e-05)
(98, 83621143489848422977, 1,2636184692382812e-05)
(99, 135301852344706746049, 1,33514404296875e-05)
(100, 218922995834555169026, 1,2874603271484375e-05)
